Date,Wind Speed (mph)
8/1/23 0:03,7.2
8/1/23 0:09,7.5
8/1/23 0:15,7.1
8/1/23 0:21,8.6
8/1/23 0:27,7.1
8/1/23 0:33,8.7
8/1/23 0:39,10.6
8/1/23 0:45,16.8
8/1/23 0:51,14.5
8/1/23 0:57,10.2
8/1/23 1:03,13.4
8/1/23 1:09,11.5
8/1/23 1:15,18.9
8/1/23 1:21,19.6
8/1/23 1:27,18.4
8/1/23 1:33,16.6
8/1/23 1:39,16
8/1/23 1:45,13.6
8/1/23 1:51,9.6
8/1/23 1:57,6.7
8/1/23 2:03,5.8
8/1/23 2:09,9.4
8/1/23 2:15,7.3
8/1/23 2:21,8
8/1/23 2:27,9.9
8/1/23 2:33,7.7
8/1/23 2:39,7.6
8/1/23 2:45,6.7
8/1/23 2:51,7
8/1/23 2:57,7.4
8/1/23 3:03,8.4
8/1/23 3:09,9.7
8/1/23 3:15,10.6
8/1/23 3:21,11.3
8/1/23 3:27,11.1
8/1/23 3:33,11.6
8/1/23 3:39,13.2
8/1/23 3:45,12.1
8/1/23 3:51,10.8
8/1/23 3:57,10.3
8/1/23 4:03,9.7
8/1/23 4:09,7.9
8/1/23 4:15,9
8/1/23 4:21,9.7
8/1/23 4:27,10.5
8/1/23 4:33,9.7
8/1/23 4:39,13.3
8/1/23 4:45,14.1
8/1/23 4:51,11.7
8/1/23 4:57,12.1
8/1/23 5:03,11.4
8/1/23 5:09,13.9
8/1/23 5:15,10.8
8/1/23 5:21,13.1
8/1/23 5:27,12.6
8/1/23 5:33,14.8
8/1/23 5:39,14.8
8/1/23 5:45,14.1
8/1/23 5:51,12.5
8/1/23 5:57,13.5
8/1/23 6:03,13.3
8/1/23 6:09,11.4
8/1/23 6:15,12.1
8/1/23 6:21,12.2
8/1/23 6:27,11.8
8/1/23 6:33,13.1
8/1/23 6:39,13.2
8/1/23 6:45,12.8
8/1/23 6:51,12.8
8/1/23 6:57,14.8
8/1/23 7:03,14.2
8/1/23 7:09,14.1
8/1/23 7:15,13.7
8/1/23 7:21,13.9
8/1/23 7:27,16
8/1/23 7:33,14.5
8/1/23 7:39,16
8/1/23 7:45,16.4
8/1/23 7:51,14.5
8/1/23 7:57,15.6
8/1/23 8:03,15.8
8/1/23 8:09,17.9
8/1/23 8:15,17.3
8/1/23 8:21,19.4
8/1/23 8:27,17.6
8/1/23 8:33,17.2
8/1/23 8:39,18.4
8/1/23 8:45,17.8
8/1/23 8:51,17
8/1/23 8:57,18.4
8/1/23 9:03,16.3
8/1/23 9:09,18
8/1/23 9:15,17.1
8/1/23 9:21,17.4
8/1/23 9:27,17
8/1/23 9:33,18.5
8/1/23 9:39,17.9
8/1/23 9:45,16.5
8/1/23 9:51,16
8/1/23 9:57,20
8/1/23 10:03,19.2
8/1/23 10:09,16.7
8/1/23 10:15,17.8
8/1/23 10:21,17.1
8/1/23 10:27,17.9
8/1/23 10:33,17
8/1/23 10:39,17.4
8/1/23 10:45,16.5
8/1/23 10:51,18.9
8/1/23 10:57,14.6
8/1/23 11:03,17.7
8/1/23 11:09,16
8/1/23 11:15,15
8/1/23 11:21,16.9
8/1/23 11:27,17.9
8/1/23 11:33,15.3
8/1/23 11:39,15.6
8/1/23 11:45,18.5
8/1/23 11:51,13.1
8/1/23 11:57,15.5
8/1/23 12:03,14.7
8/1/23 12:09,14.6
8/1/23 12:15,9.8
8/1/23 12:21,16.4
8/1/23 12:27,15.3
8/1/23 12:33,14.9
8/1/23 12:39,18.1
8/1/23 12:45,14.2
8/1/23 12:51,12.3
8/1/23 12:57,12.1
8/1/23 13:03,15.3
8/1/23 13:09,13
8/1/23 13:15,16
8/1/23 13:21,12.5
8/1/23 13:27,14.2
8/1/23 13:33,11.2
8/1/23 13:39,15.3
8/1/23 13:45,17.4
8/1/23 13:51,17.6
8/1/23 13:57,15.1
8/1/23 14:03,8.3
8/1/23 14:09,15.9
8/1/23 14:15,14.3
8/1/23 14:21,13.7
8/1/23 14:27,19.5
8/1/23 14:33,13.3
8/1/23 14:39,8.9
8/1/23 14:45,11.4
8/1/23 14:51,14
8/1/23 14:57,14.9
8/1/23 15:03,12.6
8/1/23 15:09,15
8/1/23 15:15,17.5
8/1/23 15:21,13.4
8/1/23 15:27,8.7
8/1/23 15:33,13.9
8/1/23 15:39,14.2
8/1/23 15:45,14.7
8/1/23 15:51,15
8/1/23 15:57,15.5
8/1/23 16:03,15.2
8/1/23 16:09,14.9
8/1/23 16:15,17.2
8/1/23 16:21,12.9
8/1/23 16:27,14
8/1/23 16:33,15.4
8/1/23 16:39,9.8
8/1/23 16:45,15.2
8/1/23 16:51,10.4
8/1/23 16:57,15.4
8/1/23 17:03,15.2
8/1/23 17:09,14.5
8/1/23 17:15,11.2
8/1/23 17:21,15.4
8/1/23 17:27,15.1
8/1/23 17:33,10.2
8/1/23 17:39,10.7
8/1/23 17:45,14.3
8/1/23 17:51,19
8/1/23 17:57,13.2
8/1/23 18:03,16.5
8/1/23 18:09,20.9
8/1/23 18:15,18.4
8/1/23 18:21,15.2
8/1/23 18:27,15.8
8/1/23 18:33,12.8
8/1/23 18:39,14
8/1/23 18:45,13.2
8/1/23 18:51,14.7
8/1/23 18:57,16.1
8/1/23 19:03,11.5
8/1/23 19:09,17
8/1/23 19:15,13.2
8/1/23 19:21,17.6
8/1/23 19:27,17.8
8/1/23 19:33,17.2
8/1/23 19:39,20
8/1/23 19:45,13.9
8/1/23 19:51,14.6
8/1/23 19:57,17
8/1/23 20:03,17
8/1/23 20:09,12.7
8/1/23 20:15,14.1
8/1/23 20:21,14.2
8/1/23 20:27,13.8
8/1/23 20:33,13.7
8/1/23 20:39,12.9
8/1/23 20:45,9.9
8/1/23 20:51,12.3
8/1/23 20:57,12
8/1/23 21:03,11.6
8/1/23 21:09,11.2
8/1/23 21:15,11.1
8/1/23 21:21,11.9
8/1/23 21:27,10.6
8/1/23 21:33,9.3
8/1/23 21:39,10.4
8/1/23 21:45,10.6
8/1/23 21:51,9.8
8/1/23 21:57,9.9
8/1/23 22:03,10.8
8/1/23 22:09,9.6
8/1/23 22:15,10
8/1/23 22:21,9.6
8/1/23 22:27,10.1
8/1/23 22:33,10.5
8/1/23 22:39,9.6
8/1/23 22:45,9.5
8/1/23 22:51,10.1
8/1/23 22:57,10.8
8/1/23 23:03,11.9
8/1/23 23:09,12.5
8/1/23 23:15,13.5
8/1/23 23:21,12.6
8/1/23 23:27,11
8/1/23 23:33,10.2
8/1/23 23:39,11.9
8/1/23 23:45,10.3
8/1/23 23:51,11.8
8/1/23 23:57,11.8
8/2/23 0:03,13.2
8/2/23 0:09,11.5
8/2/23 0:15,10.4
8/2/23 0:21,9.3
8/2/23 0:27,8.4
8/2/23 0:33,9.9
8/2/23 0:39,9.6
8/2/23 0:45,10
8/2/23 0:51,9
8/2/23 0:57,9.6
8/2/23 1:03,8.9
8/2/23 1:09,9.3
8/2/23 1:15,8.6
8/2/23 1:21,8.4
8/2/23 1:27,9.6
8/2/23 1:33,9.5
8/2/23 1:39,9.6
8/2/23 1:45,9.1
8/2/23 1:51,10.1
8/2/23 1:57,9.6
8/2/23 2:03,8.8
8/2/23 2:09,8.2
8/2/23 2:15,10.3
8/2/23 2:21,10.3
8/2/23 2:27,9
8/2/23 2:33,12.3
8/2/23 2:39,9
8/2/23 2:45,11.4
8/2/23 2:51,11.3
8/2/23 2:57,11.5
8/2/23 3:03,9.9
8/2/23 3:09,10.4
8/2/23 3:15,9.7
8/2/23 3:21,9
8/2/23 3:27,10.8
8/2/23 3:33,9.3
8/2/23 3:39,11.4
8/2/23 3:45,9.6
8/2/23 3:51,10.3
8/2/23 3:57,9.4
8/2/23 4:03,10.4
8/2/23 4:09,9.5
8/2/23 4:15,9.3
8/2/23 4:21,10.4
8/2/23 4:27,8.9
8/2/23 4:33,9.8
8/2/23 4:39,10.9
8/2/23 4:45,11.5
8/2/23 4:51,11.4
8/2/23 4:57,11.1
8/2/23 5:03,10.9
8/2/23 5:09,11.3
8/2/23 5:15,10.5
8/2/23 5:21,11.1
8/2/23 5:27,10.6
8/2/23 5:33,9.8
8/2/23 5:39,11
8/2/23 5:45,11.6
8/2/23 5:51,11.1
8/2/23 5:57,12.2
8/2/23 6:03,10.2
8/2/23 6:09,10.5
8/2/23 6:15,11.3
8/2/23 6:21,11.2
8/2/23 6:27,12.6
8/2/23 6:33,12.2
8/2/23 6:39,12.7
8/2/23 6:45,11.8
8/2/23 6:51,12
8/2/23 6:57,13.1
8/2/23 7:03,14.8
8/2/23 7:09,14.8
8/2/23 7:15,16
8/2/23 7:21,14.4
8/2/23 7:27,14
8/2/23 7:33,13.1
8/2/23 7:39,13
8/2/23 7:45,13.3
8/2/23 7:51,13.4
8/2/23 7:57,13.7
8/2/23 8:03,12.9
8/2/23 8:09,13
8/2/23 8:15,12.5
8/2/23 8:21,13.6
8/2/23 8:27,13.3
8/2/23 8:33,13.9
8/2/23 8:39,12.1
8/2/23 8:45,11.2
8/2/23 8:51,10.9
8/2/23 8:57,10.6
